Sample,Pool
20230427-01-A1-WPS-SB,pGL2_150
20230427-02-A2-WPS-SB,pGL2_150
20230427-03-A3-WPS-SB,pGL2_150
20230427-04-A4-WPS-SB,pGL2_150
20230427-05-A5-WPS-SB,pGL2_150
20230427-06-A6-WPS-SB,pGL2_150
20230427-07-A7-WPS-SB,pGL2_150
20230427-08-A8-WPS-SB,pGL2_150
20230427-09-A9-WPS-SB,pGL2_147
20230427-10-A10-WPS-SB,pGL2_147
20230427-11-A11-WPS-SB,pGL2_147
20230427-12-A12-WPS-SB,pGL2_147
20230427-13-B1-WPS-SB,pGL2_147
20230427-14-B2-WPS-SB,pGL2_147
20230427-15-B3-WPS-SB,pGL2_150
20230427-16-B4-WPS-SB,pGL2_150
20230427-17-B5-WPS-SB,pGL2_147
20230427-18-B6-WPS-SB,pGL2_147
20230427-19-B7-WPS-SB,pGL2_147
20230427-20-B8-WPS-SB,pGL2_150
20230427-21-B9-WPS-SB,pGL2_150
20230427-22-B10-WPS-SB,pGL2_150
20230427-23-B11-WPS-SB,pGL2_147
20230427-24-B12-WPS-SB,pGL2_147
20230427-25-C1-WPS-SB,pGL2_147
20230427-26-C2-WPS-SB,pGL2_150
20230427-27-C3-WPS-SB,pGL2_150
20230427-28-C4-WPS-SB,pGL2_150
20230427-29-C5-WPS-SB,pGL2_147
20230427-30-C6-WPS-SB,pGL2_147
20230427-31-C7-WPS-SB,pGL2_147
20230427-32-C8-WPS-SB,pGL2_150
20230427-33-C9-WPS-SB,pGL2_150
20230427-34-C10-WPS-SB,pGL2_150
20230427-35-C11-WPS-SB,pGL2_150
20230427-36-C12-WPS-SB,pGL2_150
20230501-1-Hal-plasmid-150-1-SB,pGL2_150
20230501-2-Hal-plasmid-150-2-SB,pGL2_150
20230501-3-Hal-plasmid-150-3-SB,pGL2_150
20230501-4-Hnep-plasmid-150-1-SB,pGL2_150
20230501-5-Hnep-plasmid-150-2-SB,pGL2_150
20230501-6-Hnep-plasmid-150-3-SB,pGL2_150
20230501-7-Sele-plasmid-150-1-SB,pGL2_150
20230501-8-Sele-plasmid-150-2-SB,pGL2_150
20230501-9-Sele-plasmid-150-3-SB,pGL2_150
