ORI,Antibiotic,Library,pGL2,pGL0
2m,CARB,147,pGL2_135_2μ,pGL0_16 [2μ]
AMA1_short,CARB,147,pGL2_135_AMA1_short,pGL0_17 [AMA1 short]
CEN6/ARSH4,CARB,147,pGL2_135_CEN6/ARSH4,pGL0_15 [CEN6/ARSH4]
Dummy,CARB,147,pGL2_135_Dummy,pGL0_113 [Dummy]
p15A,CARB,147,pGL2_135_p15A,pGL0_114 [p15A]
pAL5000,CARB,147,pGL2_135_pAL5000,pGL0_5 [pAL5000]
pAMb1,CARB,147,pGL2_135_pAMβ1,pGL0_12 [pAMβ1]
panARS,CARB,147,pGL2_135_panARS,pGL0_19 [panARS]
panARS-OPT,CARB,147,pGL2_135_panARS-opt,pGL0_20 [panARS-opt]
pBBR1,CARB,147,pGL2_135_pBBR1,pGL0_2 [pBBR1]
pBBR1-UP,CARB,147,pGL2_135_pBBR1-UP,pGL0_24 [pBBR1-UP]
pBC1,CARB,147,pGL2_135_pBC1,pGL0_115 [pBC1]
pIJ101,CARB,147,pGL2_135_pIJ101,pGL0_4 [pIJ101]
pIP501,CARB,147,pGL2_135_pIP501,pGL0_13 [pIP501]
pNG2,CARB,147,pGL2_135_pNG2,pGL0_110 [pNG2]
pSa,CARB,147,pGL2_135_pSa,pGL0_7 [pSa]
pSC101ts,CARB,147,pGL2_135_pSC101ts,pGL0_23 [pSC101ts]
pSG5,CARB,147,pGL2_135_pSG5,pGL0_22 [pSG5]
pUB110,CARB,147,pGL2_135_pUB110,pGL0_9 [pUB110]
pWKS1,CARB,147,pGL2_135_pWKS1,pGL0_11 [pWKS1]
RK2,CARB,147,pGL2_135_RK2,pGL0_1 [RK2]
RSF1010,CARB,147,pGL2_135_RSF1010,pGL0_3 [RSF1010]
UARS1,CARB,147,pGL2_135_UARS1,pGL0_21 [UARS1]
2m,GEN,150,pGL2_209,pGL0_16 [2μ]
AMA1_short,GEN,150,pGL2_206,pGL0_17 [AMA1 short]
CEN6/ARSH4,GEN,150,pGL2_205,pGL0_15 [CEN6/ARSH4]
Dummy,GEN,150,pGL2_175,pGL0_113 [Dummy]
p15A,GEN,150,pGL2_176,pGL0_114 [p15A]
pAL5000,GEN,150,pGL2_161,pGL0_5 [pAL5000]
pAMb1,GEN,150,pGL2_163,pGL0_12 [pAMβ1]
panARS,GEN,150,pGL2_207,pGL0_19 [panARS]
panARS-OPT,GEN,150,pGL2_208,pGL0_20 [panARS-opt]
pBBR1,GEN,150,pGL2_167,pGL0_2 [pBBR1]
pBBR1-UP,GEN,150,pGL2_173,pGL0_24 [pBBR1-UP]
pBC1,GEN,150,pGL2_177,pGL0_115 [pBC1]
pIJ101,GEN,150,pGL2_169,pGL0_4 [pIJ101]
pIP501,GEN,150,pGL2_164,pGL0_13 [pIP501]
pNG2,GEN,150,pGL2_174,pGL0_110 [pNG2]
pSa,GEN,150,pGL2_170,pGL0_7 [pSa]
pSC101ts,GEN,150,pGL2_165,pGL0_23 [pSC101ts]
pSG5,GEN,150,pGL2_172,pGL0_22 [pSG5]
pUB110,GEN,150,pGL2_162,pGL0_9 [pUB110]
pWKS1,GEN,150,pGL2_171,pGL0_11 [pWKS1]
RK2,GEN,150,pGL2_166,pGL0_1 [RK2]
RSF1010,GEN,150,pGL2_168,pGL0_3 [RSF1010]
UARS1,GEN,150,pGL2_210,pGL0_21 [UARS1]
